flag0,flag1,normal0,normal1,exp0,expexp0,count0,count1,word0,word1,sig2,negsig3,when
false,true,0.157666,1.466500,2717.970153,516248125.760141,149,134,rhv,ewhlbdxpqg,0.5,-9.13,2014-09-17T10:07:53Z
false,false,1.624213,1.097519,301.337687,19913.276121,2,566,vwu,lfouatnghfz,9.8,-7.87,2014-09-17T10:08:53Z
false,true,-0.295746,-0.315619,2898415.640161,652318.772472,110,593,lhizd,sidyueehp,7.6,-8.60,2014-09-17T10:09:53Z
false,true,-0.649321,0.035084,60692.591969,4.881316,12,633,bpmkcwfen,uuxr,2.4,0.92,2014-09-17T10:10:53Z
false,false,1.575801,0.585276,13080155.895063,84717907538471452856088152497212370970476544.000000,3585,505,evup,syiboweqrw,1.4,-0.28,2014-09-17T10:11:53Z
false,false,-0.780844,-0.884351,5152.899659,3.252304,11,205,jdegj,dvramrbg,3.5,-4.36,2014-09-17T10:12:53Z
true,true,-1.531448,-0.740360,234.916486,329443126147.101746,444,753,vigsf,jszn,6.4,5.99,2014-09-17T10:13:53Z
true,true,1.219873,-2.361452,339179.388577,567969587.970263,9,451,onrha,ffdpy,1.7,-9.84,2014-09-17T10:14:53Z
true,false,0.947672,0.711266,170.323043,12496774250810999415301942152806893879296.000000,297,779,xliddc,rjoxkuycf,8.7,-9.74,2014-09-17T10:15:53Z
true,true,0.370282,1.633843,141492.006110,235483803580816208230715752448.000000,1568,226,przbjnogfkil,pkimxap,2.7,0.85,2014-09-17T10:16:53Z
false,false,0.131863,0.621727,209.687170,3.272522,684,712,pdsh,uwyzhrisqcmr,5.1,-1.15,2014-09-17T10:17:53Z
false,false,1.282675,-0.080351,44.186764,2192523.095072,2167,250,egxllmz,jxzrfb,7.9,-6.12,2014-09-17T10:18:53Z
false,false,-0.494171,0.350112,1440.949798,124.097260,7,282,bkepyime,arzq,7.0,5.59,2014-09-17T10:19:53Z
false,false,1.017687,-0.856884,14.993496,5.241111,342,211,snip,ggwvzyxorsik,7.1,-8.80,2014-09-17T10:20:53Z
