# grid test fixture
# second comment line
n,mixed,late,text
0,0,, spaced 0 
1,1,1, spaced 1 
2,2,2, spaced 2 
3,3,3, spaced 3 
4,4,4, spaced 4 
5,5,5, spaced 5 
6,6,6, spaced 6 
7,7,, spaced 7 
8,8,8, spaced 8 
9,9,9, spaced 9 
10,10,10, spaced 10 
11,11,11, spaced 11 
12,12,12, spaced 12 
13,13,13, spaced 13 
14,14,, spaced 14 
15,15,15, spaced 15 
16,16,16, spaced 16 
17,17,17, spaced 17 
18,18,18, spaced 18 
19,19,19, spaced 19 
20,20,20, spaced 20 
21,21,, spaced 21 
22,22,22, spaced 22 
23,23,23, spaced 23 
24,24,24, spaced 24 
25,25,25, spaced 25 
26,26,26, spaced 26 
27,27,27, spaced 27 
28,28,, spaced 28 
29,29,29, spaced 29 
30,30,30, spaced 30 
31,31,31, spaced 31 
32,32,32, spaced 32 
33,33,33, spaced 33 
34,34,34, spaced 34 
35,35,, spaced 35 
36,36,36, spaced 36 
37,37,37, spaced 37 
38,38,38, spaced 38 
39,39,39, spaced 39 
40,40,40, spaced 40 
41,41,41, spaced 41 
42,42,, spaced 42 
43,43,43, spaced 43 
44,44,44, spaced 44 
45,45,45, spaced 45 
46,46,46, spaced 46 
47,47,47, spaced 47 
48,48,48, spaced 48 
49,49,, spaced 49 
50,50,50, spaced 50 
51,51,51, spaced 51 
52,52,52, spaced 52 
53,53,53, spaced 53 
54,54,54, spaced 54 
55,55,55, spaced 55 
56,56,, spaced 56 
57,57,57, spaced 57 
58,58,58, spaced 58 
59,59,59, spaced 59 
60,60,60, spaced 60 
61,61,61, spaced 61 
62,62,62, spaced 62 
63,63,, spaced 63 
64,64,64, spaced 64 
65,65,65, spaced 65 
66,66,66, spaced 66 
67,67,67, spaced 67 
68,68,68, spaced 68 
69,69,69, spaced 69 
70,70,, spaced 70 
71,71,71, spaced 71 
72,72,72, spaced 72 
73,73,73, spaced 73 
74,74,74, spaced 74 
75,75,75, spaced 75 
76,76,76, spaced 76 
77,77,, spaced 77 
78,78,78, spaced 78 
79,79,79, spaced 79 
80,80,80, spaced 80 
81,81,81, spaced 81 
82,82,82, spaced 82 
83,83,83, spaced 83 
84,84,, spaced 84 
85,85,85, spaced 85 
